,precision,recall,f1-score,support
ARP_poisioning,0.6827852998065764,0.9109677419354839,0.7805417357656164,1550.0
DDOS_Slowloris,0.8174603174603174,0.9626168224299065,0.8841201716738197,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,0.9963724304715841,0.9939686369119421,0.9951690821256038,829.0
Metasploit_Brute_Force_SSH,0.09090909090909091,0.8571428571428571,0.1643835616438356,7.0
NMAP_FIN_SCAN,0.0,0.0,0.0,6.0
NMAP_OS_DETECTION,0.0,0.0,0.0,400.0
NMAP_TCP_scan,0.0,0.0,0.0,200.0
NMAP_UDP_SCAN,0.553932584269663,0.9517374517374517,0.7002840909090909,518.0
NMAP_XMAS_TREE_SCAN,0.0,0.0,0.0,402.0
Thing_Speak,0.9680785758133824,0.9722564734895192,0.9701630267609966,1622.0
Wipro_bulb,0.7857142857142857,0.8627450980392157,0.822429906542056,51.0
accuracy,0.9499269005847953,0.9499269005847953,0.9499269005847953,0.9499269005847953
macro avg,0.49127104870374155,0.6259529234738647,0.5264242979517516,24624.0
weighted avg,0.9259927929807575,0.9499269005847953,0.9357083299443765,24624.0
