,precision,recall,f1-score,support
ARP_poisioning,0.9348778960551033,0.9632258064516129,0.9488401652367334,1550.0
DDOS_Slowloris,0.7969924812030075,0.9906542056074766,0.8833333333333333,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,1.0,0.9951749095295537,0.9975816203143894,829.0
Metasploit_Brute_Force_SSH,0.3888888888888889,1.0,0.56,7.0
NMAP_FIN_SCAN,0.0,0.0,0.0,6.0
NMAP_OS_DETECTION,1.0,0.8725,0.931909212283044,400.0
NMAP_TCP_scan,0.8852459016393442,0.81,0.8459530026109661,200.0
NMAP_UDP_SCAN,0.9875776397515528,0.6138996138996139,0.7571428571428571,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9851024208566108,0.9784217016029593,0.9817506959480359,1622.0
Wipro_bulb,0.20080321285140562,0.9803921568627451,0.3333333333333333,51.0
accuracy,0.9839587394411956,0.9839587394411956,0.9839587394411956,0.9839587394411956
macro avg,0.7649573701038261,0.8499411057979877,0.7697792045513882,24624.0
weighted avg,0.9907713062378318,0.9839587394411956,0.9857328422076743,24624.0
