,precision,recall,f1-score,support
ARP_poisioning,0.9577647823261858,0.9509677419354838,0.954354159922305,1550.0
DDOS_Slowloris,0.8174603174603174,0.9626168224299065,0.8841201716738197,107.0
DOS_SYN_Hping,0.9999471821687002,1.0,0.9999735903869008,18932.0
MQTT_Publish,0.9927797833935018,0.9951749095295537,0.9939759036144579,829.0
Metasploit_Brute_Force_SSH,0.2608695652173913,0.8571428571428571,0.4,7.0
NMAP_FIN_SCAN,0.0,0.0,0.0,6.0
NMAP_OS_DETECTION,0.7504690431519699,1.0,0.857449088960343,400.0
NMAP_TCP_scan,0.9345794392523364,1.0,0.966183574879227,200.0
NMAP_UDP_SCAN,0.9836512261580381,0.696911196911197,0.8158192090395481,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9822784810126582,0.9568434032059187,0.9693941286695815,1622.0
Wipro_bulb,0.8363636363636363,0.9019607843137255,0.8679245283018868,51.0
accuracy,0.9868014944769331,0.9868014944769331,0.9868014944769331,0.9868014944769331
macro avg,0.7930136213753946,0.8597202159242112,0.808891715821836,24624.0
weighted avg,0.9893757849536874,0.9868014944769331,0.987190768285908,24624.0
