,precision,recall,f1-score,support
ARP_poisioning,0.958957654723127,0.9496774193548387,0.9542949756888168,1550.0
DDOS_Slowloris,0.7969924812030075,0.9906542056074766,0.8833333333333333,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,1.0,0.9951749095295537,0.9975816203143894,829.0
Metasploit_Brute_Force_SSH,0.35,1.0,0.5185185185185185,7.0
NMAP_FIN_SCAN,0.0,0.0,0.0,6.0
NMAP_OS_DETECTION,0.0,0.0,0.0,400.0
NMAP_TCP_scan,0.0,0.0,0.0,200.0
NMAP_UDP_SCAN,0.3152454780361757,0.9420849420849421,0.4724104549854792,518.0
NMAP_XMAS_TREE_SCAN,0.0,0.0,0.0,402.0
Thing_Speak,0.9834710743801653,0.9537607891491985,0.9683881064162755,1622.0
Wipro_bulb,0.7857142857142857,0.8627450980392157,0.822429906542056,51.0
accuracy,0.95114522417154,0.95114522417154,0.95114522417154,0.95114522417154
macro avg,0.5158650811713967,0.6411747803137687,0.5514130763165724,24624.0
weighted avg,0.9394765768822435,0.95114522417154,0.9419134470994931,24624.0
