,precision,recall,f1-score,support
ARP_poisioning,0.9720960415314731,0.9664516129032258,0.9692656098350049,1550.0
DDOS_Slowloris,0.7969924812030075,0.9906542056074766,0.8833333333333333,107.0
DOS_SYN_Hping,1.0,1.0,1.0,18932.0
MQTT_Publish,1.0,0.9939686369119421,0.9969751966122202,829.0
Metasploit_Brute_Force_SSH,0.2916666666666667,1.0,0.45161290322580644,7.0
NMAP_FIN_SCAN,0.0,0.0,0.0,6.0
NMAP_OS_DETECTION,1.0,1.0,1.0,400.0
NMAP_TCP_scan,1.0,0.98,0.98989898989899,200.0
NMAP_UDP_SCAN,0.9779559118236473,0.9420849420849421,0.95968534906588,518.0
NMAP_XMAS_TREE_SCAN,1.0,0.9950248756218906,0.9975062344139651,402.0
Thing_Speak,0.9777777777777777,0.9765721331689272,0.9771745835903763,1622.0
Wipro_bulb,0.9565217391304348,0.8627450980392157,0.9072164948453608,51.0
accuracy,0.9941114359974009,0.9941114359974009,0.9941114359974009,0.9941114359974009
macro avg,0.8310842181777507,0.8922917920281351,0.8443890579017447,24624.0
weighted avg,0.9948988000773648,0.9941114359974009,0.9943904979319392,24624.0
